example_id                                                                                        | status  | run_time        |
------------------------------------------------------------------------------------------------- | ------- | --------------- |
./spec/components/elements/button_component_spec.rb[1:1:1]                                        | passed  | 0.04751 seconds |
./spec/components/elements/button_component_spec.rb[1:1:2]                                        | passed  | 0.00558 seconds |
./spec/components/elements/button_component_spec.rb[1:1:3]                                        | passed  | 0.00749 seconds |
./spec/components/elements/button_component_spec.rb[1:2:1]                                        | passed  | 0.01447 seconds |
./spec/components/elements/button_component_spec.rb[1:3:1]                                        | passed  | 0.00801 seconds |
./spec/components/elements/button_component_spec.rb[1:4:1]                                        | passed  | 0.01604 seconds |
./spec/components/elements/button_component_spec.rb[1:5:1]                                        | passed  | 0.01164 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:1:1]                        | passed  | 0.11084 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:1:2]                        | passed  | 0.02204 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:1:3]                        | passed  | 0.0244 seconds  |
./spec/components/health_policy_comparison_select_component_spec.rb[1:2:1]                        | passed  | 0.08468 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:2:2]                        | passed  | 0.0302 seconds  |
./spec/components/health_policy_comparison_select_component_spec.rb[1:2:3]                        | passed  | 0.03018 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:3:1]                        | passed  | 0.0751 seconds  |
./spec/components/health_policy_comparison_select_component_spec.rb[1:3:2]                        | passed  | 0.04066 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:3:3]                        | passed  | 0.04426 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:4:1]                        | passed  | 0.17157 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:4:2]                        | passed  | 0.06695 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:5:1]                        | passed  | 0.06875 seconds |
./spec/components/health_policy_comparison_select_component_spec.rb[1:6:1]                        | passed  | 0.1547 seconds  |
./spec/components/medical_benefit_coverage_icon_component_spec.rb[1:1:1]                          | passed  | 0.01009 seconds |
./spec/components/medical_benefit_coverage_icon_component_spec.rb[1:1:2]                          | passed  | 0.01242 seconds |
./spec/components/medical_benefit_coverage_icon_component_spec.rb[1:2:1]                          | passed  | 0.00697 seconds |
./spec/components/medical_benefit_coverage_icon_component_spec.rb[1:2:2]                          | passed  | 0.01012 seconds |
./spec/components/medical_benefit_coverage_icon_component_spec.rb[1:3:1]                          | passed  | 0.00867 seconds |
./spec/components/medical_benefit_coverage_icon_component_spec.rb[1:3:2]                          | passed  | 0.00994 seconds |
./spec/components/recommendations/health_policy_comparision_selection_list_component_spec.rb[1:1] | pending | 0.00003 seconds |
./spec/components/temporary_notification_component_spec.rb[1:1:1]                                 | passed  | 0.01492 seconds |
./spec/components/temporary_notification_component_spec.rb[1:1:2]                                 | passed  | 0.00955 seconds |
./spec/components/temporary_notification_component_spec.rb[1:2:1]                                 | passed  | 0.01075 seconds |
./spec/components/temporary_notification_component_spec.rb[1:2:2]                                 | passed  | 0.01157 seconds |
./spec/decorators/product_module_medical_benefit_decorator_spec.rb[1:1:1:1]                       | passed  | 0.03824 seconds |
./spec/decorators/product_module_medical_benefit_decorator_spec.rb[1:1:2:1]                       | passed  | 0.00751 seconds |
./spec/decorators/product_module_medical_benefit_decorator_spec.rb[1:1:3:1]                       | passed  | 0.00614 seconds |
./spec/decorators/product_module_medical_benefit_decorator_spec.rb[1:1:4:1]                       | passed  | 0.01045 seconds |
./spec/decorators/product_module_medical_benefit_decorator_spec.rb[1:1:5:1]                       | passed  | 0.00938 seconds |
./spec/models/core_product_module_spec.rb[1:1:1]                                                  | passed  | 0.04106 seconds |
./spec/models/core_product_module_spec.rb[1:1:2]                                                  | passed  | 0.04078 seconds |
./spec/models/core_product_module_spec.rb[1:1:3]                                                  | passed  | 0.03523 seconds |
./spec/models/core_product_module_spec.rb[1:1:4]                                                  | passed  | 0.03742 seconds |
./spec/models/core_product_module_spec.rb[1:1:5]                                                  | passed  | 0.06946 seconds |
./spec/models/core_product_module_spec.rb[1:1:6]                                                  | passed  | 0.05186 seconds |
./spec/models/core_product_module_spec.rb[1:1:7]                                                  | passed  | 0.05061 seconds |
./spec/models/core_product_module_spec.rb[1:1:8]                                                  | passed  | 0.05687 seconds |
./spec/models/core_product_module_spec.rb[1:2]                                                    | passed  | 0.03731 seconds |
./spec/models/core_product_module_spec.rb[1:3]                                                    | passed  | 0.03565 seconds |
./spec/models/elective_product_module_spec.rb[1:1:1]                                              | passed  | 0.0416 seconds  |
./spec/models/elective_product_module_spec.rb[1:1:2]                                              | passed  | 0.04207 seconds |
./spec/models/elective_product_module_spec.rb[1:1:3]                                              | passed  | 0.03542 seconds |
./spec/models/elective_product_module_spec.rb[1:1:4]                                              | passed  | 0.03563 seconds |
./spec/models/elective_product_module_spec.rb[1:1:5]                                              | passed  | 0.06692 seconds |
./spec/models/elective_product_module_spec.rb[1:1:6]                                              | passed  | 0.05186 seconds |
./spec/models/elective_product_module_spec.rb[1:1:7]                                              | passed  | 0.04317 seconds |
./spec/models/elective_product_module_spec.rb[1:1:8]                                              | passed  | 0.05254 seconds |
./spec/models/elective_product_module_spec.rb[1:2]                                                | passed  | 0.03788 seconds |
./spec/models/elective_product_module_spec.rb[1:3]                                                | passed  | 0.03617 seconds |
./spec/models/health_insurance_policy_spec.rb[1:1]                                                | passed  | 0.00674 seconds |
./spec/models/health_insurance_policy_spec.rb[1:2]                                                | passed  | 0.00749 seconds |
./spec/models/health_insurance_policy_spec.rb[1:3]                                                | passed  | 0.00887 seconds |
./spec/models/health_insurance_policy_spec.rb[1:4:1:1]                                            | passed  | 0.00552 seconds |
./spec/models/health_insurance_policy_spec.rb[1:4:2:1]                                            | passed  | 0.0036 seconds  |
./spec/models/health_insurance_policy_spec.rb[1:5:1]                                              | passed  | 0.00537 seconds |
./spec/models/health_insurance_policy_spec.rb[1:6:1]                                              | passed  | 0.02555 seconds |
./spec/models/health_insurance_policy_spec.rb[1:7:1:1]                                            | passed  | 0.13718 seconds |
./spec/models/health_insurance_policy_spec.rb[1:7:2:1]                                            | passed  | 0.11321 seconds |
./spec/models/health_insurance_policy_spec.rb[1:8:1]                                              | passed  | 0.10555 seconds |
./spec/models/health_insurance_policy_spec.rb[1:9:1]                                              | passed  | 0.09715 seconds |
./spec/models/health_insurance_policy_spec.rb[1:10:1:1]                                           | passed  | 0.26097 seconds |
./spec/models/health_insurance_policy_spec.rb[1:10:2:1]                                           | passed  | 0.1957 seconds  |
./spec/models/health_insurance_policy_spec.rb[1:10:3:1]                                           | passed  | 0.21368 seconds |
./spec/models/insurer_spec.rb[1:1]                                                                | passed  | 0.00994 seconds |
./spec/models/insurer_spec.rb[1:2]                                                                | passed  | 0.02682 seconds |
./spec/models/linked_product_module_spec.rb[1:1]                                                  | passed  | 0.07886 seconds |
./spec/models/linked_product_module_spec.rb[1:2]                                                  | passed  | 0.07542 seconds |
./spec/models/linked_product_module_spec.rb[1:3]                                                  | passed  | 0.09644 seconds |
./spec/models/medical_benefit_spec.rb[1:1]                                                        | passed  | 0.05582 seconds |
./spec/models/medical_benefit_spec.rb[1:2]                                                        | passed  | 0.0339 seconds  |
./spec/models/medical_benefit_spec.rb[1:3]                                                        | passed  | 0.02418 seconds |
./spec/models/medical_benefit_spec.rb[1:4]                                                        | passed  | 0.01971 seconds |
./spec/models/product_module_medical_benefit_spec.rb[1:1]                                         | passed  | 0.09786 seconds |
./spec/models/product_module_medical_benefit_spec.rb[1:2]                                         | passed  | 0.07785 seconds |
./spec/models/product_module_medical_benefit_spec.rb[1:3]                                         | passed  | 0.06444 seconds |
./spec/models/product_module_medical_benefit_spec.rb[1:4]                                         | passed  | 0.05868 seconds |
./spec/models/product_module_medical_benefit_spec.rb[1:5]                                         | passed  | 0.05672 seconds |
./spec/models/product_module_medical_benefit_spec.rb[1:6]                                         | passed  | 0.00362 seconds |
./spec/models/product_spec.rb[1:1]                                                                | passed  | 0.02243 seconds |
./spec/models/product_spec.rb[1:2]                                                                | passed  | 0.01999 seconds |
./spec/models/product_spec.rb[1:3]                                                                | passed  | 0.02732 seconds |
./spec/nulls/null_product_module_medical_benefit_spec.rb[1:1:1]                                   | passed  | 0.00419 seconds |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:1:1]                     | passed  | 0.47173 seconds |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:1:2]                     | passed  | 0.4188 seconds  |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:2:1]                     | passed  | 0.3891 seconds  |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:2:2]                     | passed  | 0.37267 seconds |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:3:1]                     | passed  | 0.35386 seconds |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:4:1]                     | passed  | 0.42359 seconds |
./spec/services/health_insurance_policies/matched_categories_spec.rb[1:1:4:2]                     | passed  | 0.40483 seconds |
./spec/system/admin/admin_dashboard_access_spec.rb[1:1:1]                                         | passed  | 2.57 seconds    |
./spec/system/admin/admin_dashboard_access_spec.rb[1:2:1]                                         | passed  | 0.62411 seconds |
./spec/system/admin/admin_dashboard_access_spec.rb[1:2:2]                                         | passed  | 0.40951 seconds |
./spec/system/admin/admin_dashboard_access_spec.rb[1:2:3]                                         | passed  | 0.46358 seconds |
./spec/system/heaith_insurance_comparison_form_spec.rb[1:1]                                       | passed  | 0.80292 seconds |
./spec/system/heaith_insurance_comparison_form_spec.rb[1:2]                                       | passed  | 0.96344 seconds |
./spec/system/heaith_insurance_comparison_form_spec.rb[1:3]                                       | passed  | 0.74478 seconds |
./spec/system/heaith_insurance_comparison_form_spec.rb[1:4]                                       | passed  | 0.94769 seconds |
./spec/system/heaith_insurance_comparison_form_spec.rb[1:5]                                       | passed  | 0.73638 seconds |
./spec/system/heaith_insurance_comparison_form_spec.rb[1:6]                                       | passed  | 1.19 seconds    |
./spec/system/health_insurance_comparison_selection_list_spec.rb[1:1:1]                           | passed  | 1.65 seconds    |
./spec/system/health_insurance_comparison_selection_list_spec.rb[1:1:2]                           | passed  | 1.7 seconds     |
./spec/system/health_insurance_comparison_selection_list_spec.rb[1:1:3]                           | passed  | 1.6 seconds     |
./spec/system/health_insurance_comparison_show_spec.rb[1:1:1]                                     | passed  | 2.32 seconds    |
./spec/system/health_insurance_comparison_show_spec.rb[1:1:2]                                     | passed  | 2.07 seconds    |
./spec/system/health_insurance_comparison_show_spec.rb[1:1:3]                                     | passed  | 1.97 seconds    |
./spec/system/health_insurance_comparison_show_spec.rb[1:1:4]                                     | passed  | 2.06 seconds    |
./spec/system/health_insurance_comparison_show_spec.rb[1:2:1]                                     | passed  | 2.1 seconds     |
./spec/system/health_insurance_comparison_show_spec.rb[1:2:2]                                     | passed  | 2.27 seconds    |
./spec/system/user_login_spec.rb[1:1:1]                                                           | passed  | 0.69852 seconds |
./spec/system/user_login_spec.rb[1:2:1]                                                           | passed  | 0.60089 seconds |
